153700
71316	33054	369 
4038	49534	105 
60365	37408	358 
15158	65853	332 
52181	2514	118 
68839	62434	300 
36307	41897	151 
36307	53811	369 
56705	56118	118 
19709	19803	118 
24634	65856	332 
40685	4067	118 
27187	26817	118 
34045	9013	294 
34045	2588	358 
44999	29580	313 
44999	55523	313 
44999	16619	313 
44999	18855	313 
74077	57645	213 
66836	32914	118 
58910	34795	151 
58910	33054	369 
58910	9782	358 
618	2572	118 
65148	10684	32 
36439	68441	147 
36439	13251	147 
36439	21430	147 
36439	21356	398 
36439	13251	398 
36439	21430	398 
68141	5705	118 
32944	300	118 
40347	62557	369 
71314	207	130 
71314	43105	130 
71314	69201	203 
21178	972	256 
16394	29065	332 
39701	10392	180 
12921	65855	332 
12921	29065	332 
12921	29064	332 
39114	64983	118 
6792	72888	118 
59333	62434	300 
30631	54599	118 
55787	29064	332 
55787	19847	294 
25880	29061	332 
25880	29064	332 
25880	23453	332 
5679	4279	32 
34853	20777	118 
5470	46376	118 
53901	65857	332 
53901	7341	358 
42934	36301	32 
42934	56774	369 
62465	69742	143 
62465	37487	143 
62465	44991	143 
62465	73813	143 
13954	28837	118 
5786	44076	118 
57076	48861	382 
57076	53540	382 
4066	42443	118 
42617	30186	388 
27110	42543	29 
33128	33054	151 
33128	10392	180 
52260	23483	118 
14068	11136	118 
24607	53217	118 
23060	1016	118 
52927	912	102 
4373	5558	130 
4373	24800	130 
4373	69865	130 
14239	9013	51 
14239	57760	294 
56527	33054	151 
56527	38119	369 
36505	47877	398 
36505	62397	382 
62470	73831	151 
6501	29065	332 
16368	41278	118 
40343	65857	332 
16923	16252	102 
2848	38944	80 
2848	38944	37 
57001	29375	118 
7969	33054	369 
74475	21680	313 
74475	68699	313 
74475	12217	313 
74475	29580	313 
74475	16619	313 
74475	10036	313 
74475	68348	313 
74475	55523	313 
74475	19607	313 
31615	29061	332 
21681	25366	118 
70349	53553	118 
34575	65855	332 
34575	65861	332 
34575	65853	332 
34575	29052	332 
34575	23453	332 
34575	29065	332 
34575	33054	369 
34575	9577	358 
6132	32022	155 
6132	5422	358 
43116	47832	330 
49930	50359	398 
74705	67576	118 
49107	17624	32 
49107	17624	358 
27985	65857	332 
27985	29064	332 
31420	22668	37 
70682	50774	296 
13690	38014	398 
13690	38014	382 
25519	69877	118 
7769	7670	151 
49539	33054	369 
13437	9911	217 
13437	38944	80 
13437	38944	37 
13437	17058	85 
13437	64632	85 
13437	64632	374 
13437	19933	265 
2434	44440	369 
2434	44440	358 
23614	22616	118 
60845	54168	256 
60845	22958	369 
16617	25130	102 
71191	2588	358 
56624	9025	369 
56624	4335	369 
